,Permno,Ticker,B/P,Mktcap,Ret
993,994,METC,0.4926108374384237,503.93,1.0886
994,995,MGEE,0.37735849056603776,2.74,0.0054
995,996,MGIC,0.2777777777777778,935.42,0.1463
996,997,MGPI,0.29850746268656714,2.22,0.6823
997,998,MGRC,0.38910505836575876,1.86,0.0369
998,999,MGU,1.1764705882352942,292.04,0.038
999,1000,MGY,0.22624434389140272,4.71,0.6634
1000,1001,MGYR,1.2345679012345678,83.95,0.09849999999999999
1001,1002,MIC,0.8474576271186441,363.07,0.306
1002,1003,MIRM,0.15267175572519084,714.41,0.43729999999999997
1003,1004,MIST,0.35842293906810035,201.47,0.2652
1004,1005,MKL,0.7751937984496123,16.92,0.07769999999999999
1005,1006,MLAC,0.4329004329004329,84.35,0.027200000000000002
1006,1007,MLI,0.3952569169960475,3.45,0.5752
1010,1011,MMC,0.14184397163120568,75.94,0.1024
1011,1012,MMI,0.4424778761061947,1.45,0.1112
1013,1014,MMP,0.16835016835016833,10.51,0.1142
1014,1015,MMYT,0.28901734104046245,2.94,0.0691
1015,1016,MN,0.38167938931297707,242.13,0.5888
1016,1017,MNDT,0.26595744680851063,5.33,0.1341
1017,1018,MNRL,0.49751243781094534,1.46,0.42060000000000003
1018,1019,MNST,0.1347708894878706,51.3,0.0435
1019,1020,MNTK,0.121654501216545,1.5,0.6172
1020,1021,MOFG,1.0638297872340425,464.21,0.0999
1021,1022,MOG-A,0.5494505494505494,2.57,0.0662
1022,1023,MOH,0.1579778830963665,17.07,0.2191
1023,1024,MOS,0.6622516556291391,16.88,0.6697
1024,1025,MOV,0.5882352941176471,745.44,0.21739999999999998
1025,1026,MPB,1.1235955056179776,426.37,0.0362
1026,1027,MPC,0.48309178743961356,45.42,0.7265999999999999
1027,1028,MPLX,0.35842293906810035,30.33,0.1948
1028,1029,MPWR,0.06702412868632708,19.19,0.1195
1029,1030,MRC,0.3787878787878788,885.12,0.2804
1030,1031,MRK,0.17513134851138354,230.9,0.19870000000000002
1031,1032,MRO,0.6896551724137931,15.6,1.0252
1032,1033,MRTN,0.38759689922480617,1.64,0.36979999999999996
1033,1034,MRUS,0.2577319587628866,1.16,0.5085000000000001
1034,1035,MSBI,1.1494252873563218,541.12,0.024399999999999998
1036,1037,MTAC,0.7633587786259541,307.85,0.0128
1037,1038,MTB,0.7575757575757576,28.48,0.2554
1038,1039,MTDR,0.37453183520599254,5.61,0.6664
1039,1040,MTG,1.075268817204301,4.09,0.0297
1040,1041,MTNB,0.2747252747252747,172.21,0.096
1041,1042,MTOR,0.2638522427440633,2.58,0.6148
1042,1043,MTR,0.09285051067780874,26.6,1.3038999999999998
1043,1044,MTRN,0.47393364928909953,1.51,0.1096
1044,1045,MUFG,1.8181818181818181,71.36,0.0232
1045,1046,MUR,0.8403361344537815,4.6,0.6292
1046,1047,MUSA,0.11641443538998836,6.59,0.9603
1047,1048,MVO,0.060459492140266025,120.94,0.6718999999999999
