No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
421,DBC,-,-,-,-,-,-,-,-,-,-,-,-,-,25.66,0.08%,"944,642"
422,DBE,-,-,-,-,-,-,-,-,-,-,-,-,-,25.45,0.24%,"29,672"
423,DBI,1.01B,6.92,7.17,0.47,0.30,2.56,18.48,10.95,129.50%,5.64%,5.70%,14.68%,3.30%,14.61,-0.27%,"394,106"
424,DBJP,-,-,-,-,-,-,-,-,-,-,-,-,-,49.27,0.64%,"31,740"
425,DBMF,-,-,-,-,-,-,-,-,-,-,-,-,-,32.33,0.06%,"65,348"
426,DBO,-,-,-,-,-,-,-,-,-,-,-,-,-,17.65,0.26%,"471,860"
427,DCOM,1.19B,8.11,8.32,-,3.03,1.16,2.19,-,7.70%,6.86%,4.70%,-,22.80%,30.57,-0.44%,"24,904"
428,DCP,6.42B,18.42,6.82,0.64,0.55,1.30,6419.32,16.17,190.80%,24.68%,-0.60%,28.60%,9.20%,31.80,0.38%,"139,308"
429,DDS,3.70B,4.40,11.31,-,0.54,2.61,4.29,4.01,-5.50%,-31.92%,53.40%,-,0.60%,216.19,0.54%,"77,672"
430,DFAT,-,-,-,-,-,-,-,-,-,-,-,-,-,42.09,0.57%,"162,035"
431,DFIN,990.74M,8.16,8.68,0.82,1.03,2.97,95.26,8.13,642.50%,8.96%,18.10%,10.00%,0.20%,32.54,1.77%,"71,289"
432,DG,56.65B,25.16,19.52,2.27,1.64,9.40,168.81,50.57,-4.20%,9.24%,18.10%,11.07%,9.30%,247.62,0.93%,"382,208"
433,DGICA,515.75M,18.43,11.94,1.84,0.62,0.98,9.19,-,-54.70%,5.77%,-6.50%,10.00%,3.50%,16.15,-1.64%,"47,242"
434,DGII,894.71M,79.01,14.69,4.65,2.65,1.91,21.61,30.02,9.00%,16.88%,-9.50%,17.00%,8.70%,26.58,1.33%,"109,444"
435,DGX,15.73B,9.11,16.15,-,1.47,2.55,22.09,12.15,48.20%,-9.30%,28.00%,-,7.50%,135.11,-1.13%,"338,423"
436,DGZ,-,-,-,-,-,-,-,-,-,-,-,-,-,10.70,-0.96%,10
437,DHIL,573.71M,8.53,-,-,3.09,3.25,9.76,-,94.00%,-,11.60%,-,6.00%,186.91,0.34%,"1,343"
438,DHS,-,-,-,-,-,-,-,-,-,-,-,-,-,82.57,-0.08%,"29,803"
439,DHT,1.11B,-,8.84,-,3.89,1.11,18.95,411.28,-104.40%,1092.31%,-21.90%,5.00%,-3.60%,6.82,-0.36%,"765,828"
440,DHX,234.65M,-,42.58,-,1.84,2.11,-,14.05,98.70%,84.62%,40.00%,15.10%,-12.00%,5.11,0.00%,"113,466"
441,DIG,-,-,-,-,-,-,-,-,-,-,-,-,-,30.70,1.55%,"75,699"
442,DINO,9.92B,13.59,7.15,0.60,0.44,0.99,16.75,-,191.00%,-34.45%,33.80%,22.65%,11.80%,45.81,-0.63%,"681,351"
443,DIT,113.86M,6.97,-,-,0.07,1.34,227.73,13.72,180.40%,-,26.70%,-,5.30%,224.09,16.11%,"3,342"
444,DIV,-,-,-,-,-,-,-,-,-,-,-,-,-,19.69,0.00%,"56,849"
445,DIVZ,-,-,-,-,-,-,-,-,-,-,-,-,-,28.28,-0.11%,"2,642"
446,DJP,-,-,-,-,-,-,-,-,-,-,-,-,-,34.46,0.29%,"19,447"
447,DK,1.62B,-,13.86,-,0.13,2.09,1.90,7.08,67.60%,-62.80%,6.60%,-1.40%,20.50%,24.09,-0.50%,"275,010"
448,DKL,2.12B,12.82,8.05,0.98,2.80,-,783.42,10.59,-9.30%,32.72%,12.80%,13.11%,9.40%,49.70,0.28%,"4,697"
449,DKS,7.27B,7.13,8.06,-,0.60,3.19,3.23,16.54,142.30%,4.27%,40.20%,-7.90%,9.20%,94.01,2.31%,"547,622"
450,DLCA,254.82M,39.88,-,-,-,1.30,141.57,-,-,-,-,-,-,9.86,0.10%,2
451,DLHC,192.27M,10.71,14.73,0.69,0.50,2.44,480.68,-,37.40%,-29.61%,19.90%,15.50%,23.50%,15.60,-1.02%,"18,905"
452,DLN,-,-,-,-,-,-,-,-,-,-,-,-,-,60.28,0.08%,"55,054"
453,DLNG,174.73M,3.54,4.05,3.54,1.27,0.45,1.64,-,80.60%,7.69%,-7.60%,1.00%,-4.10%,3.42,0.59%,"22,273"
454,DLTR,38.40B,26.01,18.16,1.57,1.44,4.65,31.52,27.25,2.50%,15.31%,8.90%,16.55%,4.90%,173.13,1.72%,"956,988"
455,DMLP,982.31M,11.21,-,-,8.47,6.15,29.77,59.18,217.10%,-,24.00%,-,20.00%,26.66,-0.97%,"31,851"
456,DNN,962.58M,17.85,-,-,58.34,2.76,15.04,-,192.30%,-50.00%,25.20%,-,7.70%,1.18,2.16%,"1,824,517"
457,DNOW,1.10B,24.96,12.64,-,0.63,1.51,3.77,-,101.20%,24.07%,15.10%,-,-5.00%,10.10,-0.64%,"168,270"
458,DNP,3.77B,7.23,-,-,29.03,1.16,-,-,-,-,0.58%,-,-,10.98,0.12%,"134,963"
459,DOG,-,-,-,-,-,-,-,-,-,-,-,-,-,34.94,-0.20%,"459,200"
460,DON,-,-,-,-,-,-,-,-,-,-,-,-,-,40.43,0.24%,"56,126"
461,DORM,3.58B,27.70,19.18,1.85,2.45,3.83,66.95,43.81,24.70%,10.10%,6.10%,15.00%,9.40%,114.41,-1.95%,"56,756"
462,DOX,10.33B,19.10,14.58,1.75,2.35,2.91,12.06,28.21,43.60%,10.63%,14.50%,10.90%,2.90%,85.24,-0.23%,"180,395"
463,DQ,5.28B,4.30,6.02,-,1.95,2.32,5.25,-,465.90%,-50.63%,66.20%,-,53.60%,65.01,-3.63%,"860,385"
464,DRE,22.07B,21.97,61.99,3.66,20.16,3.62,2398.81,-,179.20%,-26.64%,21.90%,6.00%,8.60%,59.15,0.44%,"846,078"
465,DRH,1.84B,-,15.88,-,2.66,1.24,44.20,54.09,51.10%,43.59%,-29.90%,-9.50%,-8.80%,8.94,0.56%,"960,853"
466,DRTS,697.69M,64.54,-,-,-,1.44,996.69,-,58.20%,-39.30%,-,-,-,10.83,2.90%,"12,514"
467,DRVN,4.82B,78.20,23.24,4.71,3.00,2.87,17.80,89.39,329.50%,13.67%,-,16.60%,-,29.81,0.83%,"89,955"
468,DSAC,218.04M,2492.50,-,-,-,1.43,1090.22,-,61.90%,-,-,-,-,10.01,0.40%,"2,883,903"
469,DSGN,1.05B,-,-,-,-,3.00,2.83,-,-402.80%,-31.40%,-,-,-,21.00,5.00%,"62,359"
470,DSKE,425.76M,6.77,5.99,0.27,0.26,3.23,2.77,4.89,37.70%,9.43%,24.20%,25.00%,19.00%,6.94,-0.14%,"86,363"
471,DSX,408.41M,5.23,4.97,1.05,1.71,0.94,3.53,3.39,137.40%,-30.13%,18.00%,5.00%,13.40%,4.98,0.00%,"468,049"
472,DTD,-,-,-,-,-,-,-,-,-,-,-,-,-,59.20,0.15%,"11,595"
473,DTE,23.91B,30.47,19.77,8.76,1.52,2.70,159.41,-,-24.90%,4.91%,-3.30%,3.48%,7.10%,122.51,-1.27%,"410,699"
474,DTM,4.76B,15.65,13.07,1.94,5.55,1.25,16.95,5.32,-1.60%,6.71%,-,8.05%,-,50.53,0.88%,"131,200"
475,DUK,80.89B,22.18,18.33,3.78,3.10,1.71,-,-,188.40%,5.57%,5.90%,5.87%,2.00%,104.49,-0.99%,"783,991"
476,DUST,-,-,-,-,-,-,-,-,-,-,-,-,-,23.43,2.10%,"1,554,857"
477,DVAX,1.78B,27.98,20.97,-,3.79,6.30,3.54,7.48,172.60%,-37.31%,16.90%,-,108.90%,15.17,4.26%,"1,039,702"
478,DVN,36.83B,10.72,6.02,0.39,2.64,4.03,14.03,7.60,161.70%,6.00%,32.10%,27.50%,3.40%,57.41,0.35%,"4,420,317"
479,DVY,-,-,-,-,-,-,-,-,-,-,-,-,-,118.24,-0.35%,"315,244"
480,DWIN,259.19M,-,-,-,-,1.37,1295.95,-,157.50%,-,-,-,-,10.07,0.20%,346
481,DWSH,-,-,-,-,-,-,-,-,-,-,-,-,-,9.47,-3.73%,"40,686"
482,DXD,-,-,-,-,-,-,-,-,-,-,-,-,-,48.48,-0.57%,"264,064"
483,DXJ,-,-,-,-,-,-,-,-,-,-,-,-,-,64.57,0.37%,"93,293"
484,DXLG,246.00M,4.72,6.57,0.31,0.47,4.00,32.80,4.07,166.30%,15.18%,82.60%,15.00%,2.30%,4.32,1.77%,"123,591"
485,DXPE,578.80M,24.01,10.42,1.20,0.49,1.64,15.81,23.06,142.20%,22.40%,7.80%,20.00%,3.00%,31.40,-1.55%,"25,170"
486,DXR,51.63M,175.34,-,-,185.67,3.56,-,-,-,-,125.02%,-,-,12.78,-0.16%,"2,105"
487,DY,2.99B,45.61,19.10,2.28,0.91,3.92,16.12,77.93,59.40%,53.24%,-20.40%,20.00%,0.40%,100.79,0.40%,"120,949"
488,DZZ,-,-,-,-,-,-,-,-,-,-,-,-,-,3.03,-0.59%,"8,668"
489,E,40.78B,4.82,-,0.25,0.43,0.86,2.06,3.90,167.40%,-,50.00%,19.50%,6.50%,22.61,-2.46%,"277,314"
490,EBC,3.40B,20.75,12.25,-,7.31,1.08,26.30,30.47,696.40%,24.50%,-,-,-,19.17,0.03%,"142,375"
491,EBF,539.45M,16.52,-,3.30,1.31,1.77,5.92,26.84,19.80%,-,1.60%,5.00%,2.30%,21.21,0.14%,"37,002"
492,ECLN,-,-,-,-,-,-,-,-,-,-,-,-,-,24.96,0.84%,43
493,ECPG,1.57B,4.47,6.59,0.34,1.14,1.30,9.78,-,68.50%,-22.93%,29.90%,13.00%,6.60%,66.31,1.16%,"90,738"
494,ED,32.48B,21.31,19.05,4.13,2.31,1.60,300.71,17.76,17.50%,7.53%,-1.40%,5.16%,2.50%,91.47,-0.81%,"412,998"
495,EDAP,235.19M,-,-,-,5.03,4.70,5.05,-,136.90%,41.70%,-30.30%,3.00%,4.40%,7.10,-0.56%,"9,300"
496,EDN,225.13M,-,-,-,0.26,0.30,1.34,-,20.10%,-,1.04%,37.90%,54.10%,4.59,4.86%,"9,941"
497,EDZ,-,-,-,-,-,-,-,-,-,-,-,-,-,14.36,1.20%,"168,429"
498,EEV,-,-,-,-,-,-,-,-,-,-,-,-,-,23.34,0.69%,"8,635"
499,EFSC,1.54B,10.30,8.49,1.14,3.80,1.15,0.75,8.39,39.90%,4.41%,9.90%,9.00%,20.80%,42.74,-0.14%,"15,719"
500,EFU,-,-,-,-,-,-,-,-,-,-,-,-,-,13.60,0.00%,"3,733"
501,EFZ,-,-,-,-,-,-,-,-,-,-,-,-,-,21.02,0.17%,"84,705"
502,EGLE,665.64M,3.64,3.87,-,0.98,0.96,7.96,3.17,446.60%,-29.83%,16.60%,-,36.70%,50.81,-1.38%,"176,579"
503,EGY,310.41M,3.70,2.28,-,1.36,2.00,16.42,43.11,267.00%,-21.62%,45.20%,-,27.20%,5.32,0.76%,"616,789"
504,EIDO,-,-,-,-,-,-,-,-,-,-,-,-,-,22.49,1.65%,"308,195"
505,EIG,1.12B,12.47,17.26,1.25,1.62,1.03,8.58,174.99,5.20%,7.96%,5.20%,10.00%,-2.00%,40.85,-0.90%,"44,462"
506,EIGR,372.20M,-,-,-,33.23,3.08,2.80,-,56.80%,13.40%,33.80%,-,-,8.68,2.24%,"61,555"
507,EINC,-,-,-,-,-,-,-,-,-,-,-,-,-,60.00,-0.66%,544
508,EIX,23.39B,40.13,12.69,8.03,1.47,1.71,101.27,-,1.10%,7.72%,-12.70%,5.00%,4.70%,61.48,-0.26%,"715,132"
509,ELA,215.40M,19.72,11.60,-,1.32,6.99,18.73,61.54,57.40%,32.35%,26.40%,-,23.90%,7.59,-3.07%,"80,799"
510,ELF,1.65B,79.90,36.33,11.18,4.20,5.33,37.98,112.13,238.50%,10.25%,-1.70%,7.15%,7.80%,32.69,0.77%,"174,584"
511,ELP,3.33B,24.88,-,-,0.73,4.06,3.89,-,-1.70%,-,35.40%,-,12.90%,6.19,0.32%,"123,356"
512,ELSE,19.91M,50.04,-,-,2.26,1.51,2.05,-,425.90%,-,14.90%,-,4.00%,5.82,-0.51%,"2,715"
513,ELV,114.40B,19.59,15.33,1.56,0.79,3.34,18.57,18.67,37.60%,13.32%,21.80%,12.57%,10.30%,457.60,-8.01%,"1,143,445"
514,EMCF,89.49M,8.85,-,-,2.47,1.09,5.08,12.43,50.80%,-,14.40%,-,9.30%,32.75,-0.46%,"1,461"
515,EMLP,-,-,-,-,-,-,-,-,-,-,-,-,-,26.12,-0.27%,"115,364"
516,EMO,339.20M,-,-,-,-,-,-,-,-,-,-,-,-,25.70,0.82%,"12,332"
517,ENB,87.28B,19.63,13.60,1.96,2.29,2.10,277.17,-,94.60%,5.91%,8.20%,10.00%,6.40%,43.07,-0.19%,"1,025,262"
518,ENFR,-,-,-,-,-,-,-,-,-,-,-,-,-,21.11,0.05%,"8,906"
519,ENLC,4.37B,67.34,20.39,-,0.57,3.51,63.67,8.37,105.30%,43.44%,15.10%,-,9.50%,9.36,0.05%,"346,874"
520,ENPH,29.10B,183.76,49.66,8.86,19.13,86.72,27.37,89.85,7.80%,22.60%,22.50%,20.74%,33.80%,217.66,2.02%,"1,568,765"
521,ENSV,21.45M,-,-,-,1.40,4.00,214.51,-,-28.50%,-,25.80%,20.00%,-9.00%,1.91,1.60%,"48,163"
522,ENTA,1.03B,-,73.55,-,11.30,2.92,3.69,-,-115.90%,114.10%,-40.50%,-,1.90%,51.51,1.06%,"29,700"
523,ENVA,1.04B,5.20,4.57,-,0.98,1.01,7.88,2.18,-42.00%,13.26%,45.70%,-,6.60%,33.07,1.41%,"45,660"
524,EOG,59.34B,13.83,6.42,1.05,3.14,2.80,14.80,14.76,864.80%,-2.62%,43.20%,13.15%,20.10%,104.74,1.08%,"1,094,228"
525,EOLS,725.12M,-,-,-,5.98,10.77,-,-,80.50%,71.60%,-2.00%,16.50%,-,13.73,5.37%,"397,231"
526,EP,177.71M,-,-,-,4.57,12.90,32.91,26.52,57.10%,-,-48.70%,-,-,9.71,7.53%,"22,875"
527,EPD,55.01B,12.23,9.87,1.20,1.23,2.16,238.14,19.78,21.90%,5.30%,16.00%,10.20%,12.10%,25.50,0.85%,"1,808,035"
528,EPHY,502.45M,89.55,-,-,-,1.32,2512.24,-,-,-,-,-,-,9.85,0.00%,"3,998"
529,EPM,195.06M,9.85,-,-,2.42,2.99,14.56,9.90,-375.00%,-,-21.80%,-,4.40%,5.91,0.63%,"66,864"
530,EPR,3.79B,34.45,21.30,4.92,6.57,1.50,11.71,16.95,148.60%,11.39%,-20.70%,7.00%,1.50%,51.90,-0.36%,"154,075"
531,EPSN,139.34M,9.84,-,-,2.93,1.72,4.63,6.80,-,-,41.20%,-,10.80%,6.02,-1.15%,"5,761"
532,EPV,-,-,-,-,-,-,-,-,-,-,-,-,-,15.44,0.98%,"281,129"
533,EPWR,341.16M,42.59,-,-,-,1.30,1137.19,-,-,-,-,-,-,9.84,-0.40%,"14,049"
534,EQBK,474.05M,8.91,8.98,0.89,2.89,1.11,4.31,5.79,169.10%,3.27%,26.20%,10.00%,20.60%,30.15,0.30%,"11,821"
535,EQC,3.08B,-,434.69,-,51.57,1.11,1.13,-,-105.70%,-,-16.30%,-2.00%,-35.00%,27.33,-1.76%,"336,382"
536,EQNR,106.79B,9.80,7.33,1.69,0.98,2.57,2.40,3.75,256.20%,-30.01%,37.30%,5.80%,14.20%,35.28,2.34%,"1,680,917"
537,EQS,29.06M,-,-,-,-,0.80,-,-,-,-,-,-,-,2.13,-0.93%,10
538,EQT,14.27B,-,5.73,-,9.29,1.79,844.15,12.51,3.60%,118.28%,6.90%,59.34%,17.20%,40.18,2.66%,"2,178,154"
539,ERF,3.13B,13.06,3.48,0.46,1.77,5.42,137.68,-,129.90%,51.35%,-11.50%,28.22%,15.50%,13.18,-0.75%,"661,374"
540,ERIE,8.76B,38.16,29.33,3.82,3.27,7.50,46.71,201.35,1.60%,8.84%,7.30%,10.00%,10.50%,192.31,0.50%,"6,826"
541,ERII,1.11B,76.22,30.26,3.81,10.36,6.26,13.55,285.57,-47.80%,52.42%,28.30%,20.00%,12.50%,20.06,0.45%,"44,411"
542,ERX,-,-,-,-,-,-,-,-,-,-,-,-,-,48.11,1.22%,"1,830,678"
543,ESEA,166.52M,2.45,1.23,0.49,1.33,1.58,3.38,2.17,941.00%,24.24%,16.80%,5.00%,35.50%,23.20,-0.94%,"8,784"
544,ESLT,10.22B,37.45,23.83,3.44,1.94,4.06,39.29,68.57,15.30%,12.07%,2.30%,10.90%,10.10%,225.75,-2.83%,"9,459"
545,ESQ,272.03M,14.58,9.43,-,5.88,1.84,1.83,10.08,36.60%,24.83%,41.20%,-,22.50%,34.62,0.03%,"7,346"
546,ESSA,179.54M,9.74,8.65,-,3.07,0.78,0.92,12.55,18.50%,8.24%,17.60%,-,0.10%,16.83,-1.29%,618
547,ESSC,73.35M,-,-,-,-,2.89,-,-,-,-,-,-,-,10.27,0.39%,"63,441"
548,ESTE,1.73B,135.37,2.29,6.45,3.20,1.05,3454.45,6.31,256.80%,16.83%,17.50%,21.00%,58.30%,12.88,0.16%,"535,914"
549,ET,31.66B,9.84,6.58,-,0.45,1.24,28.49,9.31,889.10%,9.23%,7.10%,-11.98%,16.20%,10.41,-0.14%,"6,227,776"
550,ETAC,762.76M,52.41,-,-,-,1.33,7627.62,-,305.30%,-,-,-,-,10.01,0.00%,"16,699"
551,ETB,455.51M,4.43,-,-,71.22,1.04,-,-,-,-,-,-,-,16.37,-1.03%,"46,590"
552,ETR,22.34B,21.07,16.33,3.49,1.90,1.91,31.85,11.78,-19.70%,6.37%,29.90%,6.04%,1.60%,109.42,-0.73%,"250,002"
553,EUM,-,-,-,-,-,-,-,-,-,-,-,-,-,15.03,0.27%,"112,885"
554,EUO,-,-,-,-,-,-,-,-,-,-,-,-,-,32.02,0.25%,"48,684"
555,EURN,2.68B,-,133.10,-,6.39,1.32,-,-,-160.90%,107.30%,-,-13.00%,-,13.24,-0.53%,"1,070,488"
556,EVA,4.04B,-,58.44,-,3.91,7.42,776.62,-,143.50%,109.38%,-47.30%,34.50%,17.50%,64.66,3.21%,"117,685"
557,EVH,2.93B,-,59.43,-,2.96,4.76,-,1542.86,90.90%,87.33%,37.00%,30.00%,29.00%,32.16,-1.08%,"126,275"
558,EVRG,14.72B,18.27,17.01,3.69,2.83,1.60,663.02,-,41.00%,6.80%,9.60%,4.96%,16.90%,64.14,-0.35%,"286,727"
559,EWBC,9.52B,11.04,8.23,1.38,5.71,1.74,1.44,-,53.60%,16.12%,15.40%,8.00%,7.30%,70.08,0.42%,"193,131"
560,EWV,-,-,-,-,-,-,-,-,-,-,-,-,-,18.58,-1.35%,"18,941"
561,EXC,42.76B,17.31,18.10,1.08,1.35,1.82,17.27,-,-13.40%,6.63%,7.60%,16.00%,3.00%,43.87,0.38%,"1,994,933"
562,EXEL,7.01B,23.66,19.52,0.51,4.61,3.04,4.46,15.48,103.90%,25.03%,35.40%,46.00%,49.60%,22.00,0.73%,"631,201"
563,EXLS,4.78B,42.13,23.49,3.24,4.01,7.02,17.74,47.01,29.40%,12.27%,13.40%,13.00%,10.30%,140.65,-4.29%,"84,286"
564,EXPO,4.74B,49.80,46.19,3.32,9.91,12.69,-,71.63,22.60%,11.57%,16.80%,15.00%,8.20%,95.00,1.57%,"55,683"
565,EXR,22.83B,27.88,26.97,4.65,13.73,7.20,345.86,64.46,66.80%,7.46%,16.30%,6.00%,9.70%,173.63,0.88%,"92,281"
566,EXTR,1.34B,29.04,10.91,1.45,1.20,13.95,8.03,12.74,101.40%,25.10%,15.40%,20.00%,14.20%,10.69,0.85%,"232,214"
567,EYPT,287.84M,-,-,-,7.40,2.29,1.51,-,42.60%,-4.10%,17.20%,-,37.40%,10.81,5.11%,"104,214"
568,EZPW,418.62M,21.16,9.25,0.60,0.52,0.63,1.64,12.84,112.40%,43.36%,53.00%,35.00%,0.00%,7.47,-0.27%,"83,332"
569,FAAR,-,-,-,-,-,-,-,-,-,-,-,-,-,32.24,-0.85%,"27,610"
570,FANG,20.22B,7.67,5.03,0.45,2.52,1.62,135.73,4.84,141.40%,-8.84%,50.00%,17.01%,66.80%,118.31,1.52%,"712,866"
571,FBCV,-,-,-,-,-,-,-,-,-,-,-,-,-,27.33,-0.10%,"8,407"
572,FBIZ,260.99M,7.80,7.99,0.98,2.71,1.12,1.93,10.61,111.40%,4.38%,19.50%,8.00%,4.20%,31.53,-0.69%,"6,992"
573,FBK,1.84B,11.17,10.78,-,4.78,1.39,1.04,3.77,137.60%,14.44%,13.60%,-,26.20%,40.27,0.07%,"91,753"
574,FBP,2.73B,9.88,8.35,0.69,3.42,1.60,1.58,8.66,186.90%,13.32%,24.90%,14.40%,6.30%,14.22,-0.91%,"525,096"
575,FC,692.59M,49.01,40.71,3.27,2.74,9.54,13.29,13.22,241.80%,5.71%,15.70%,15.00%,2.30%,51.10,1.23%,"20,231"
576,FCAX,493.50M,30.18,-,-,-,1.30,822.50,-,-,-,-,-,-,9.88,0.10%,"1,540"
577,FCBC,495.14M,11.39,10.84,2.28,4.77,1.21,1.08,19.42,45.80%,2.55%,15.20%,5.00%,2.10%,30.25,-0.72%,"4,914"
578,FCF,1.28B,10.51,8.96,1.31,4.41,1.23,2.45,14.52,92.00%,12.06%,16.60%,8.00%,6.20%,13.96,0.36%,"121,281"
579,FCG,-,-,-,-,-,-,-,-,-,-,-,-,-,23.11,1.09%,"432,382"
580,FCN,6.43B,28.93,22.33,3.68,2.29,3.88,23.73,26.26,17.20%,22.13%,26.50%,7.87%,8.90%,186.10,-0.68%,"102,329"
581,FCUV,588.74M,-,-,-,490.61,47.93,76.46,-,-24.70%,-,-41.70%,-,5.00%,13.50,0.60%,"15,174"
582,FDL,-,-,-,-,-,-,-,-,-,-,-,-,-,35.63,-0.06%,"1,332,588"
583,FDS,15.05B,39.24,27.01,2.42,8.57,11.96,26.84,37.72,7.40%,9.57%,4.80%,16.20%,7.10%,402.25,0.65%,"38,957"
584,FDUS,453.56M,4.76,10.31,1.59,5.01,1.01,-,-,-6.20%,8.40%,-2.99%,3.00%,-,18.70,0.75%,"15,488"
585,FE,21.58B,17.57,14.91,-,1.89,2.47,76.26,-,22.90%,5.74%,11.90%,-2.42%,0.80%,37.91,0.03%,"949,432"
586,FEDU,29.09M,-,-,-,0.79,0.40,0.39,-,79.30%,-,-19.50%,-,4.30%,12.12,0.83%,108
587,FEI,349.17M,-,-,-,-,-,-,-,-,-,-,-,-,7.76,0.51%,"11,675"
588,FEN,310.94M,7.28,-,-,53.80,1.09,-,-,-,-,-,-,-,16.19,1.23%,"36,173"
589,FENC,165.25M,-,-,-,-,13.67,9.03,-,12.70%,100.00%,-25.00%,-,-,6.77,3.20%,"9,197"
590,FENY,-,-,-,-,-,-,-,-,-,-,-,-,-,19.85,0.86%,"397,124"
591,FFBW,75.43M,40.03,-,-,6.86,0.84,1.33,22.19,17.80%,-,69.40%,-,5.10%,12.06,0.08%,26
592,FFIC,648.24M,8.51,9.85,1.52,2.25,1.01,2.94,7.26,119.10%,-6.55%,3.00%,5.60%,5.50%,21.90,0.00%,"23,742"
593,FGBI,258.41M,9.43,8.18,-,2.21,1.39,1.93,12.19,27.50%,9.09%,11.70%,-,13.80%,24.81,1.10%,"1,783"
594,FHI,3.03B,12.91,10.51,0.96,2.36,2.82,6.61,45.08,-14.90%,13.14%,6.40%,13.46%,2.60%,33.82,-0.09%,"87,690"
595,FHN,11.42B,13.06,11.86,1.37,5.39,1.58,0.66,-,-7.90%,18.73%,13.20%,9.50%,21.40%,22.28,1.53%,"783,620"
596,FHTX,585.24M,-,-,-,117.05,8.55,1.38,2.41,-45.80%,-1.30%,-,-,-,15.31,2.34%,"35,581"
597,FIF,241.04M,-,-,-,-,-,-,-,-,-,-,-,-,14.43,0.25%,"7,858"
598,FILL,-,-,-,-,-,-,-,-,-,-,-,-,-,21.28,0.95%,"5,881"
599,FINM,509.17M,63.21,-,-,-,1.30,-,-,-,-,-,-,-,9.87,0.10%,100
600,FINMU,-,-,-,-,-,-,-,-,-,-,-,-,-,9.87,0.00%,0
601,FITB,22.71B,9.93,8.27,1.62,4.37,1.32,0.95,6.43,104.30%,14.90%,14.40%,6.14%,4.40%,34.35,-0.92%,"3,292,052"
602,FIX,3.16B,15.85,15.65,1.59,0.96,3.65,27.33,27.57,-3.80%,21.20%,18.00%,10.00%,13.50%,89.29,0.48%,"14,472"
603,FIZZ,4.46B,28.42,24.07,1.11,3.92,18.37,92.77,42.86,-9.00%,10.50%,8.20%,25.56%,6.60%,49.37,2.56%,"66,322"
604,FLME,352.57M,-,-,-,-,1.25,881.43,-,-,-,-,-,-,9.84,0.31%,15
605,FLNG,1.52B,12.92,-,-,4.42,1.76,-,-,-,-,-,-,-,29.20,2.17%,"238,438"
606,FLO,5.73B,26.10,20.30,23.31,1.28,3.92,27.96,182.02,34.90%,7.02%,4.40%,1.12%,2.00%,26.97,0.11%,"227,161"
607,FLR,3.41B,-,15.16,-,0.27,2.40,1.61,-,-159.20%,32.77%,-22.30%,29.94%,-8.20%,24.75,-0.24%,"389,906"
608,FMAO,401.27M,14.34,11.37,-,4.89,1.42,2.56,15.49,11.70%,8.69%,9.80%,-,15.30%,30.87,-1.37%,"12,184"
609,FMC,12.96B,15.94,11.99,1.66,2.49,4.28,35.50,94.46,40.40%,13.44%,45.60%,9.58%,14.70%,104.64,0.81%,"227,510"
610,FMF,-,-,-,-,-,-,-,-,-,-,-,-,-,50.31,-0.48%,"29,322"
611,FMNB,502.95M,8.61,6.97,0.48,4.13,1.30,3.66,11.64,20.10%,8.44%,18.60%,18.00%,9.90%,15.17,0.20%,"14,142"
612,FNB,3.91B,10.45,7.66,1.04,3.88,0.74,1.01,8.98,44.90%,14.19%,9.40%,10.00%,8.20%,11.52,0.57%,"750,556"
613,FNCB,154.28M,7.77,-,-,2.93,1.11,5.49,13.90,39.80%,-,22.80%,-,8.30%,7.71,0.00%,200
614,FNGD,-,-,-,-,-,-,-,-,-,-,-,-,-,49.77,-7.80%,"508,666"
615,FNKO,1.18B,20.82,10.98,7.71,1.03,2.81,35.61,-,876.20%,13.15%,13.20%,2.70%,19.30%,24.57,4.07%,"510,079"
616,FNLC,322.02M,8.44,-,-,4.09,1.41,4.40,10.66,33.00%,-,14.70%,-,7.50%,30.68,1.66%,"3,752"
617,FOLD,3.14B,-,-,-,9.88,13.29,7.63,-,13.70%,83.00%,9.10%,-,128.00%,10.93,-0.95%,"1,220,487"
618,FORM,2.94B,32.69,18.96,1.63,3.77,3.59,9.92,35.58,6.70%,10.99%,65.70%,20.00%,14.90%,40.29,3.65%,"165,147"
619,FORR,869.98M,36.53,17.45,2.28,1.72,4.43,6.61,11.05,143.30%,17.19%,5.80%,16.00%,8.70%,47.11,-0.25%,"11,529"
620,FORTY,1.53B,27.36,-,-,0.62,2.95,2.69,-,15.80%,-,19.60%,-,16.70%,103.64,-0.11%,88
621,FPI,687.12M,-,71.17,-,12.70,1.29,42.68,-,6.30%,37.76%,-31.20%,-,10.80%,13.84,-1.28%,"88,936"
622,FPL,147.36M,-,-,-,-,-,-,-,-,-,-,-,-,6.05,1.73%,"12,210"
623,FRBA,270.13M,8.31,7.85,-,2.97,1.03,1.41,12.68,83.90%,4.20%,34.30%,-,24.30%,14.25,0.07%,"1,704"
624,FRG,1.30B,6.03,6.48,0.40,0.34,1.82,8.66,-,700.90%,4.58%,38.00%,15.00%,79.60%,34.41,1.62%,"109,707"
