No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
155,BBSI,552.60M,13.61,11.93,0.91,0.56,3.06,4.34,-,13.80%,10.25%,14.40%,15.00%,2.60%,77.31,0.73%,"11,389"
156,BBW,252.85M,5.30,5.74,0.18,0.58,2.62,9.69,21.99,290.40%,5.43%,37.90%,30.00%,2.80%,17.05,2.16%,"55,517"
157,BCAC,68.75M,-,-,-,-,1.36,687.49,-,-,-,-,-,-,10.21,0.10%,"26,279"
158,BCBP,293.96M,8.59,8.65,0.86,2.62,1.21,0.73,8.91,69.00%,-7.81%,25.00%,10.00%,9.50%,17.58,-1.62%,"30,393"
159,BCC,2.51B,2.90,6.82,1.26,0.30,1.52,2.72,5.36,305.00%,-48.41%,78.80%,2.30%,15.20%,64.99,2.62%,"101,441"
160,BCD,-,-,-,-,-,-,-,-,-,-,-,-,-,35.68,0.19%,"16,407"
161,BCE,45.00B,19.99,13.73,3.17,2.50,3.01,567.49,-,19.00%,5.57%,-2.10%,6.30%,1.50%,49.38,-0.09%,"385,870"
162,BCH,8.86B,10.82,8.21,3.24,3.40,2.38,1.05,3.16,71.20%,1.33%,7.80%,3.34%,4.50%,19.08,1.33%,"66,109"
163,BCI,-,-,-,-,-,-,-,-,-,-,-,-,-,26.92,0.15%,"194,447"
164,BCM,-,-,-,-,-,-,-,-,-,-,-,-,-,44.00,-0.26%,210
165,BCML,274.56M,10.32,8.05,1.03,3.19,0.81,0.60,23.87,65.70%,12.30%,25.70%,10.00%,22.50%,20.99,0.91%,"24,424"
166,BCOR,876.57M,68.07,6.41,4.54,0.96,2.65,6.08,213.80,102.20%,65.28%,39.00%,15.00%,14.20%,19.15,0.47%,"55,295"
167,BCPC,4.14B,41.85,27.73,1.74,4.92,4.78,64.25,63.95,13.00%,10.59%,10.90%,24.00%,7.60%,130.21,-0.11%,"15,454"
168,BCTX,98.98M,-,-,-,-,1.73,-,-,-,-55.80%,-,-,-,6.50,4.50%,"235,757"
169,BCX,748.04M,-,-,-,-,-,-,-,-,-,-,-,-,8.56,1.06%,"229,048"
170,BDC,2.61B,36.52,10.43,3.59,1.05,2.92,4.66,16.73,12.80%,3.30%,-12.40%,10.16%,0.40%,61.84,0.15%,"72,668"
171,BECN,3.87B,14.37,8.80,1.63,0.54,2.25,73.91,472.33,-73.00%,-6.94%,-14.20%,8.83%,-16.70%,56.67,1.02%,"148,646"
172,BEDZ,-,-,-,-,-,-,-,-,-,-,-,-,-,22.54,1.76%,910
173,BELFB,184.90M,10.95,8.04,-,0.32,1.12,-,-,30.30%,4.20%,-5.68%,-,-,18.28,1.44%,"46,960"
